$$$Vapor-Liquid Equilibrium Data Set 417	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CHCl3	119.377	67-66-3	Chloroform	
2	C2H6O	46.069	64-17-5	Ethanol	
Temperature	318.15	K	
P [kPa]	x1 [mol/mol]	y1 [mol/mol]	
24.585	0.02100	0.08300	
28.131	0.06500	0.23800	
34.797	0.15800	0.47300	
40.330	0.21300	0.55700	
43.650	0.25900	0.60700	
46.743	0.30600	0.65100	
50.196	0.34500	0.67800	
51.049	0.38600	0.70400	
Source	
Roeck H.; Schroeder W.: Beitrag zur Kenntnis des Konzentrationsverlaufs thermodynamischer Mischungsfunktionen. Z.Phys.Chem.(München) 9 (1956) 277-284	
$$$Vapor-Liquid Equilibrium Data Set 418	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CHCl3	119.377	67-66-3	Chloroform	
2	C2H6O	46.069	64-17-5	Ethanol	
Temperature	328.15	K	
P [kPa]	x1 [mol/mol]	y1 [mol/mol]	
39.463	0.02100	0.07500	
49.129	0.10600	0.32100	
55.022	0.16000	0.42800	
60.622	0.21100	0.51300	
65.328	0.25900	0.57200	
69.314	0.30300	0.61600	
72.154	0.34300	0.64700	
74.954	0.38500	0.67000	
Source	
Roeck H.; Schroeder W.: Beitrag zur Kenntnis des Konzentrationsverlaufs thermodynamischer Mischungsfunktionen. Z.Phys.Chem.(München) 9 (1956) 277-284	
$$$Vapor-Liquid Equilibrium Data Set 1305	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	CHCl3	119.377	67-66-3	Chloroform	
2	C2H6O	46.069	64-17-5	Ethanol	
Temperature	308.15	K	
P [kPa]	x1 [mol/mol]	y1 [mol/mol]	
13.703	0.00000	0.00000	
13.982	0.00620	0.02540	
14.840	0.02410	0.09910	
15.147	0.02970	0.12100	
16.471	0.05420	0.21540	
16.775	0.05940	0.23430	
19.766	0.11090	0.38850	
23.678	0.17300	0.53040	
27.422	0.23610	0.62070	
30.006	0.28730	0.67470	
30.563	0.30140	0.68700	
31.531	0.32270	0.70090	
33.783	0.38450	0.73700	
34.035	0.39220	0.74120	
35.684	0.43840	0.76460	
36.536	0.48270	0.77970	
38.923	0.61850	0.81810	
39.587	0.67830	0.83270	
40.403	0.77460	0.85540	
40.715	0.82650	0.86980	
40.679	0.84230	0.87520	
40.830	0.84830	0.87830	
40.803	0.93150	0.91610	
40.646	0.95600	0.93630	
40.553	0.95860	0.93850	
40.489	0.96000	0.94030	
40.518	0.96160	0.94140	
39.345	1.00000	1.00000	
Source	
Scatchard G.; Raymond C.L.: II. Chloroform-Ethanol Mixtures at 35, 45 and 55 °. J.Am.Chem.Soc. 60 (1938) 1278-1287	
Source	
Roeck H.; Schroeder W.: Beitrag zur Kenntnis des Konzentrationsverlaufs thermodynamischer Mischungsfunktionen. Z.Phys.Chem.(München) 9 (1956) 277-284	
Scatchard G.; Raymond C.L.: II. Chloroform-Ethanol Mixtures at 35, 45 and 55 °. J.Am.Chem.Soc. 60 (1938) 1278-1287	
